id,name,birthdate,deathdate
1603,Cristián de la Fuente,1974-03-10,NA
1604,Cristian Mungiu,1968-04-27,NA
1605,Crystal Lowe,1981-01-20,NA
1606,Crystal R. Fox,NA,NA
1607,Cullen Douglas,1967-11-06,NA
1608,Currie Graham,1967-02-26,NA
1609,Curt Doussett,NA,NA
1610,Curtis Armstrong,1953-11-27,NA
1611,Curtis Hanson,1945-03-24,2016-09-20
1612,Curtiss Cook,NA,NA
1613,Cybill Shepherd,1950-02-18,NA
1614,Cyd Charisse,1921-03-08,2008-06-17
1615,Cyndi Lauper,1953-06-22,NA
1616,Cynthia Barrett,NA,NA
1617,Cynthia Geary,1965-03-21,NA
1618,Cynthia Myers,NA,NA
1619,Cynthia Nixon,1966-04-09,NA
1620,Cynthia Rhodes,1956-11-21,NA
1621,Cynthia Stevenson,1962-08-02,NA
1622,Cynthia Watros,1968-09-02,NA
1623,Cyril Raffaelli,1974-04-01,NA
1624,Cyrus Nowrasteh,1956-09-19,NA
1625,D. David Morin,1955-04-20,NA
1626,D. Stevens,1982-10-10,NA
1627,D.B. Sweeney,1961-11-14,NA
1628,D.B. Woodside,1969-07-25,NA
1629,D.J. Caruso,1965-01-17,NA
1630,D.W. Griffith,1875-01-22,1948-07-23
1631,Dabney Coleman,1932-01-03,NA
1632,Dagmara Dominczyk,1976-07-17,NA
1633,Dagur Kári,1973-12-12,NA
1634,Dahong Ni,NA,NA
1635,Daisy Betts,NA,NA
1636,Daisy Ridley,1992-04-10,NA
1637,Daisy von Scherler Mayer,1966-09-14,NA
1638,Dal-su Oh,1968-06-15,NA
1639,Dalia Hernández,1985-08-14,NA
1640,Dalip Singh,1972-08-27,NA
1641,Dallas Barnett,1964-02-29,NA
1642,Dallas Roberts,1970-05-10,NA
1643,Dameon Clarke,1972-01-16,NA
1644,Damián Alcázar,1953-01-08,NA
1645,Damián Delgado,NA,NA
1646,Damian Jewan Lee,NA,NA
1647,Damian Lewis,1971-02-11,NA
1648,Damian Nieman,NA,NA
1649,Damian Walshe-Howling,1971-01-22,NA
1650,Damien Chazelle,1985-01-19,NA
1651,Damien Dante Wayans,1980-04-15,NA
1652,Damien Garvey,NA,NA
1653,Damien O'Donnell,NA,NA
1654,Damir Catic,NA,NA
1655,Damon Albarn,1968-03-23,NA
1656,Damon Owlia,NA,NA
1657,Damon Santostefano,NA,NA
1658,Damon Wayans,1960-09-04,NA
1659,Damon Wayans Jr.,1982-11-18,NA
1660,Dan Bakkedahl,1969-11-18,NA
1661,Dan Bilzerian,NA,NA
1662,Dan Byrd,1985-11-20,NA
1663,Dan Curtis,1927-08-12,2006-03-27
1664,Dan Cutforth,1967-04-24,NA
1665,Dan Fogelman,NA,NA
1666,Dan Fogler,1976-10-20,NA
1667,Dan Futterman,1967-06-08,NA
1668,Dan Gilroy,1959-06-24,NA
1669,Dan Harris,1971-07-26,NA
1670,Dan Hedaya,1940-07-24,NA
1671,Dan Hicks,NA,NA
1672,Dan Ireland,1958-05-11,2016-04-14
1673,Dan Mazer,NA,NA
1674,Dan Novy,NA,NA
1675,Dan O'Bannon,1946-09-30,2009-12-17
1676,Dan O'Herlihy,1919-05-01,2005-02-17
1677,Dan Perri,NA,NA
1678,Dan Reed,NA,NA
1679,Dan Rush,NA,NA
1680,Dan Scanlon,NA,NA
1681,Dan Trachtenberg,NA,NA
1682,Dan Zukovic,NA,NA
1683,Dana Andrews,1909-01-01,1992-12-17
1684,Dana Blackstone,NA,NA
1685,Dana Delany,1956-03-13,NA
1686,Dana Hanna,NA,NA
1687,Dana Ivey,1941-08-12,NA
1688,Dana Kimmell,1959-10-26,NA
1689,Dane Cook,1972-03-18,NA
1690,Dania Ramirez,NA,NA
1691,Daniel Algrant,1959-09-25,NA
1692,Daniel Auteuil,1950-01-24,NA
1693,Daniel Baldwin,1960-10-05,NA
1694,Daniel Barber,NA,NA
1695,Daniel Barnz,NA,NA
1696,Daniel Bernhardt,1965-08-31,NA
1697,Daniel Columbie,NA,NA
1698,Daniel Cudmore,1981-01-20,NA
1699,Daniel Davila,NA,NA
1700,Daniel Espinosa,1977-03-23,NA
1701,Daniel Franzese,1978-05-09,NA
1702,Daniel Giménez Cacho,1961-05-15,NA
1703,Daniel Henney,1979-11-28,NA
1704,Daniel Hsia,NA,NA
1705,Daniel Kaluuya,NA,NA
1706,Daniel Kash,1959-04-25,NA
1707,Daniel Lapaine,NA,NA
1708,Daniel Lee,NA,NA
1709,Daniel London,NA,NA
1710,Daniel Mays,1963-01-16,NA
1711,Daniel Mellitz,1972-01-23,NA
1712,Daniel Myrick,1963-09-03,NA
1713,Daniel Petrie Jr.,1920-11-26,2004-08-22
1714,Daniel Radcliffe,1989-07-23,NA
1715,Daniel Rindress-Kay,1988-07-19,NA
1716,Daniel Roebuck,1963-03-04,NA
1717,Daniel Sackheim,NA,NA
1718,Daniel Schechter,NA,NA
1719,Daniel Sharman,1986-04-25,NA
1720,Daniel Stamm,1976-04-20,NA
1721,Daniel Stern,1957-08-28,NA
1722,Daniel Stewart Sherman,1970-08-16,NA
1723,Daniel Taplitz,NA,NA
1724,Daniel Tay,1992-02-11,NA
1725,Daniel Travis,1968-03-10,NA
1726,Daniel von Bargen,1950-06-05,2015-03-01
1727,Daniel Wu,1974-09-30,NA
1728,Daniel Zettel,NA,NA
1729,Daniela Bianchi,1942-01-31,NA
1730,Daniele Luchetti,1960-07-26,NA
1731,Daniella Alonso,1978-09-22,NA
1732,Daniella Pineda,1987-02-20,NA
1733,Danielle Darrieux,1917-05-01,NA
1734,Danielle Kotch,NA,NA
1735,Danielle Savre,1988-08-26,NA
1736,Danielle von Zerneck,1965-12-21,NA
1737,Dann Florek,1950-05-01,NA
1738,Danneel Ackles,1979-03-18,NA
1739,Danny Aiello,1957-01-27,2010-05-01
1740,Danny Arroyo,1979-01-29,NA
1741,Danny Boyle,1956-10-20,NA
1742,Danny Cannon,NA,NA
1743,Danny DeVito,1944-11-17,NA
1744,Danny Dyer,1977-07-24,NA
1745,Danny Huston,1962-05-14,NA
1746,Danny Leiner,NA,NA
1747,Danny Masterson,1976-03-13,NA
1748,Danny Nucci,1968-09-15,NA
1749,Danny Pang,NA,NA
1750,Danny Perez,NA,NA
1751,Danny Pino,1974-04-15,NA
1752,Danny Provenzano,NA,NA
1753,Danny Rhodes,NA,NA
1754,Danny Sapani,1970-11-15,NA
1755,Danny Steinmann,1942-01-07,2012-12-18
1756,Danny Strong,1974-06-06,NA
1757,Danny Webb,NA,NA
1758,Danny Woodburn,1964-07-26,NA
1759,Dante Brown,NA,NA
1760,Dany Boon,1966-06-26,NA
1761,Dany Verissimo-Petit,1982-06-27,NA
1762,Daoming Chen,1955-04-26,NA
1763,Daphne Zuniga,1962-10-28,NA
1764,Darci Kistler,NA,NA
1765,Darcy Donavan,1985-11-20,NA
1766,Daren Kagasoff,1987-09-16,NA
1767,Darin Scott,NA,NA
1768,Dario Argento,1940-09-07,NA
1769,Dario Nozic Serini,NA,NA
1770,Darlene Love,1938-07-26,NA
1771,Darnell Martin,1964-01-07,NA
1772,Darrell Roodt,1962-04-28,NA
1773,Darren Aronofsky,1969-02-12,NA
1774,Darren Boyd,1971-01-30,NA
1775,Darren E. Burrows,1966-09-12,NA
1776,Darren Grant,NA,NA
1777,Darren Healy,NA,NA
1778,Darren Keefe Reiher,1975-07-04,NA
1779,Darren Kendrick,NA,NA
1780,Darren Lynn Bousman,1979-01-11,NA
1781,Darren McGavin,1922-05-07,2006-02-25
1782,Darren Shahlavi,1972-08-05,2015-01-14
1783,Darren Stein,1971-12-24,NA
1784,Darryl Cox,1955-04-08,NA
1785,Darryl Hunt,NA,NA
1786,Darryl Stephens,1974-03-07,NA
1787,Darshan Jariwala,1958-09-29,NA
1788,Darwin Shaw,NA,NA
1789,Daryl Hannah,1960-12-03,NA
1790,Daryl Sabara,1992-06-14,NA
1791,Daryl Wein,1983-12-23,NA
1792,Daryn Tufts,1973-04-01,NA
1793,Dash Mihok,1974-05-24,NA
1794,Daston Kalili,NA,NA
1795,Dato Bakhtadze,1966-05-20,NA
1796,Dave Allen,1944-10-22,1999-08-16
1797,Dave Annable,1979-09-15,NA
1798,Dave Borthwick,1947-07-26,2012-10-27
1799,Dave Carroll,NA,NA
1800,Dave Chappelle,1973-08-24,NA
1801,Dave Fennoy,1952-01-20,NA
1802,Dave Foley,1963-01-04,NA
1803,Dave Green,NA,NA
1804,Dave Legeno,1963-10-12,2014-07-06
1805,Dave McKean,1963-12-29,NA
1806,Dave Meyers,NA,NA
1807,Dave Payne,NA,NA
1808,Dave Rodriguez,1970-08-18,NA
1809,Dave Sheridan,NA,NA
1810,David A Cole,NA,NA
1811,David A.R. White,1970-05-12,NA
1812,David Adam Flannery,NA,NA
1813,David Agranov,NA,NA
1814,David Alan Basche,1968-08-25,NA
1815,David Alan Grier,1955-06-30,NA
1816,David Alpay,NA,NA
1817,David Anspaugh,1946-09-24,NA
1818,David Arquette,1971-09-08,NA
1819,David Atkins,NA,NA
1820,David Ayer,1968-01-18,NA
1821,David Backus,NA,NA
1822,David Bailie,NA,NA
1823,David Barnes,NA,NA
1824,David Belle,1973-04-29,NA
1825,David Bianchi,NA,NA
1826,David Bowers,NA,NA
1827,David Boyd,NA,NA
1828,David Caffrey,NA,NA
1829,David Calder,1946-08-01,NA
1830,David Carradine,1936-12-08,2009-06-03
1831,David Carson,NA,NA
1832,David Chandler,1925-05-24,2012-03-13
1833,David Clennon,1943-05-10,NA
1834,David Conrad,1967-08-17,NA
1835,David Costabile,NA,NA
1836,David Cronenberg,1943-03-15,NA
1837,David Cross,1964-04-04,NA
1838,David Dastmalchian,1977-07-21,NA
1839,David DeCoteau,1962-01-05,NA
1840,David Della Rocco,1952-05-04,NA
1841,David DeLuise,1971-11-11,NA
1842,David Dencik,1974-10-31,NA
1843,David Denman,1973-07-25,NA
1844,David Dobkin,1969-06-23,NA
1845,David Douglas,NA,NA
1846,David Duchovny,1960-08-07,NA
1847,David E. Talbert,NA,NA
1848,David Eigenberg,1964-05-17,NA
1849,David F. Sandberg,NA,NA
1850,David Fincher,1962-08-28,NA
1851,David Fine,NA,NA
1852,David Frankel,1959-04-02,NA
1853,David Frederick White,1960-05-25,NA
1854,David G. Evans,NA,NA
1855,David Gallagher,1985-02-09,NA
1856,David Gant,NA,NA
1857,David Gelb,1983-10-16,NA
1858,David Gordon Green,1975-04-09,NA
1859,David Gulpilil,1953-07-01,NA
1860,David Hackl,NA,NA
1861,David Harbour,1975-04-10,NA
1862,David Hayter,1969-02-06,NA
1863,David Hemmings,1941-11-18,2003-12-03
1864,David Herman,1967-02-20,NA
1865,David Hewlett,1968-04-18,NA
1866,David Heyman,1961-07-26,NA
1867,David Hoffman,NA,NA
1868,David Huddleston,1930-09-17,2016-08-02
1869,David Hunt,1953-02-16,NA
1870,David Hyde Pierce,1959-04-03,NA
1871,David Jacobson,NA,NA
1872,David Jason,1940-02-02,NA
1873,David Jason Perez,NA,NA
1874,David Julian Hirsh,1973-10-26,NA
1875,David Keith,1946-01-20,NA
1876,David Kellogg,NA,NA
1877,David Kelly,NA,NA
1878,David Kennedy,NA,NA
1879,David Koepp,1963-06-09,NA
1880,David Kross,1964-04-04,NA
1881,David LaChapelle,1963-03-11,NA
1882,David Lam,NA,NA
1883,David Lean,1908-03-25,1991-04-16
1884,David Lee Smith,1963-09-08,NA
1885,David Leland,1947-04-20,NA
1886,David Lewis,1916-10-19,2000-12-11
1887,David Lowery,NA,NA
1888,David Lynch,1946-01-20,NA
1889,David Lyons,1976-04-16,NA
1890,David M. Matthews,NA,NA
1891,David Mamet,1947-11-30,NA
1892,David Mann,NA,NA
1893,David Margulies,1937-02-19,2016-01-11
1894,David Masterson,1969-02-16,NA
1895,David McNally,NA,NA
1896,David Mersault,1958-08-19,NA
1897,David Mirkin,1955-09-18,NA
1898,David Moreau,NA,NA
1899,David Moscow,1974-11-14,NA
1900,David Murray,NA,NA
1901,David Niven,1910-03-01,1983-07-29
1902,David Nixon,1919-12-29,1978-12-01
1903,David Nutter,NA,NA
1904,David O. Russell,1958-08-20,NA
1905,David O'Hara,1965-07-09,NA
1906,David Oakes,1983-10-14,NA
1907,David Oelhoffen,NA,NA
1908,David Ogden Stiers,1942-10-31,NA
1909,David Opatoshu,1918-01-30,1996-04-30
1910,David Oyelowo,1976-04-01,NA
1911,David Palmer,NA,NA
1912,David Pastor,1978-07-25,NA
1913,David Patrick Kelly,1951-01-23,NA
1914,David Paymer,1954-08-30,NA
1915,David Proval,1942-05-20,NA
1916,David R. Ellis,1952-09-08,2013-01-07
1917,David Raizor,NA,NA
1918,David Ramsey,1971-11-17,NA
1919,David Rasche,1944-08-07,NA
1920,David Ray,1968-02-24,NA
1921,David Raynr,1961-03-17,NA
1922,David Richmond-Peck,NA,NA
1923,David Robert Mitchell,NA,NA
1924,David S. Goyer,1965-12-22,NA
1925,David S. Ward,1920-12-19,1987-02-22
1926,David Schaal,1963-05-27,NA
1927,David Schneider,NA,NA
1928,David Schwimmer,1966-11-02,NA
1929,David Silverman,1957-03-15,NA
1930,David Sington,NA,NA
1931,David Slade,1964-07-22,NA
1932,David Soren,NA,NA
1933,David Sparrow,1962-03-04,NA
1934,David Suchet,1946-05-02,NA
1935,David Sullivan,1968-02-04,NA
1936,David Thewlis,1963-03-20,NA
1937,David Thornton,1953-06-12,NA
1938,David Threlfall,1953-10-12,NA
1939,David Twohy,1955-10-18,NA
1940,David Wain,1969-08-01,NA
1941,David Walliams,1971-08-20,NA
1942,David Walton,1978-10-27,NA
1943,David Warbeck,1941-11-17,1997-07-23
1944,David Wayne,1964-07-22,NA
1945,David Webb Peoples,NA,NA
1946,David White,NA,NA
1947,David Winning,1961-05-08,NA
1948,David Winters,1939-04-05,NA
1949,David Worth,NA,NA
1950,David Yates,1963-10-08,NA
1951,David Zayas,1962-08-15,NA
1952,David Zucker,NA,NA
1953,Davis Guggenheim,1963-11-03,NA
1954,Dawn French,1957-10-11,NA
1955,Dax Flame,NA,NA
1956,Dayna Devon,1970-03-20,NA
1957,Dayo Okeniyi,NA,NA
1958,Dean Andrews,1963-08-06,NA
1959,Dean Dawson,NA,NA
1960,Dean DeBlois,1970-06-07,NA
1961,Dean Israelite,1984-09-20,NA
1962,Dean Jones,NA,NA
1963,Dean Parisot,NA,NA
1964,Dean Stockwell,1936-03-05,NA
1965,Dean Wright,NA,NA
1966,Deb Hagan,NA,NA
1967,Debbie Harry,1945-07-01,NA
1968,Debbie Reynolds,1932-04-01,2016-12-28
1969,Debi Derryberry,1960-09-27,NA
1970,Debi Mazar,1964-08-13,NA
1971,Deborah Anderson,NA,NA
1972,Deborah Foreman,1962-10-12,NA
1973,Deborah Kara Unger,1966-05-12,NA
1974,Deborah Kerr,1921-09-30,2007-10-16
1975,Deborah Mailman,1972-07-14,NA
1976,Déborah Révy,NA,NA
1977,Deborah Twiss,1971-12-22,NA
1978,Deborra-Lee Furness,1955-12-08,NA
1979,Debra Granik,1963-02-06,NA
1980,Debra Lynn Hull,NA,NA
1981,Debra Messing,1968-08-15,NA
1982,Debra Monk,1949-02-27,NA
1983,Debra Paget,1933-08-19,NA
1984,Debra Winger,1955-05-16,NA
1985,Debrah Farentino,1959-09-30,NA
1986,Debrianna Mansini,NA,NA
1987,Dee Bradley Baker,1962-08-31,NA
1988,Dee Wallace,1948-12-14,NA
1989,Deems Taylor,1885-12-22,1966-07-03
1990,Deepa Mehta,1950-01-01,NA
1991,DeForest Kelley,1920-01-20,1999-06-11
1992,Deirdre Lorenz,NA,NA
1993,Del Zamora,NA,NA
1994,Dell Yount,NA,NA
1995,Della Reese,1931-07-06,NA
1996,Delphine Chanéac,1978-11-14,NA
1997,Delroy Lindo,1952-11-18,NA
1998,Demetri Martin,1973-05-25,NA
1999,Demetrius Grosse,1981-02-26,NA
2000,Demi Moore,1962-11-11,NA
2001,Demián Bichir,1963-08-01,NA
2002,Demian Lichtenstein,NA,NA
2003,Dena Seidel,NA,NA
2004,Denden,1950-01-23,NA
2005,Dendrie Taylor,NA,NA
2006,Deneen Tyler,NA,NA
2007,Denholm Elliott,1922-05-31,1992-10-06
2008,Denis Lavant,1961-06-17,NA
2009,Denis Leary,1957-08-18,NA
2010,Denis O'Hare,1962-01-17,NA
2011,Denis Villeneuve,1967-10-03,NA
2012,Denise Boutte,1982-01-19,NA
2013,Denise Crosby,1957-11-24,NA
2014,Dennie Gordon,1953-05-09,NA
2015,Dennis Burkley,1945-09-10,2013-07-14
2016,Dennis Dugan,1946-09-05,NA
2017,Dennis Franz,1944-10-28,NA
2018,Dennis Gansel,1973-10-04,NA
2019,Dennis Hopper,1936-05-17,2010-05-29
2020,Dennis Iliadis,NA,NA
2021,Dennis L.A. White,NA,NA
2022,Dennis Quaid,1954-04-09,NA
2023,Denny Kirkwood,1975-03-20,NA
2024,Denys Arcand,1941-06-25,NA
2025,Denzel Washington,1954-12-28,NA
2026,Deon Richmond,1978-04-02,NA
2027,Deon Taylor,NA,NA
2028,Dequina Moore,NA,NA
2029,DeRay Davis,NA,NA
2030,Derek Brandon,NA,NA
2031,Derek Cianfrance,1974-01-23,NA
2032,Derek Graf,NA,NA
2033,Derek Jacobi,1938-10-22,NA
2034,Derek Jeter,1926-05-27,2006-09-14
2035,Derek Luke,1974-04-24,NA
2036,Derek Magyar,NA,NA
2037,Derek Mears,1972-04-29,NA
2038,Derek Wayne Johnson,1983-02-23,NA
2039,Derick Martini,1972-12-02,NA
2040,Dermot Crowley,1947-03-19,NA
2041,Derrick Borte,1967-12-07,NA
2042,Deryck Broom,NA,NA
2043,Des McAnuff,1952-06-19,NA
2044,Desmond Askew,1972-12-17,NA
2045,Desmond Llewelyn,1914-09-12,1999-12-19
2046,DeVaughn Nixon,NA,NA
2047,Devid Striesow,1973-10-01,NA
2048,Devin Ratray,1977-01-11,NA
2049,Devon Murray,1988-10-28,NA
2050,DeWayne Warren,NA,NA
2051,Dewey Nicks,1961-04-22,NA
2052,Dexter Fletcher,1966-01-31,NA
2053,Diahann Carroll,1935-07-17,NA
2054,Dian Bachar,1970-10-26,NA
2055,Diana Maria Riva,1969-07-22,NA
2056,Diana Ross,1944-03-26,NA
2057,Diana Scarwid,1955-08-27,NA
2058,Diana Vickers,1991-07-30,NA
2059,Diane Baker,1938-02-25,NA
2060,Diane English,NA,NA
2061,Diane Keaton,1946-01-05,NA
2062,Diane Ladd,1935-11-29,NA
2063,Diane Sorrentino,NA,NA
2064,Diane Venora,1952-08-10,NA
2065,Dianne Wiest,1948-03-28,NA
2066,Dichen Lachman,1982-02-22,NA
2067,Dick Cavett,1936-11-19,NA
2068,Dick Cheney,1908-05-06,1971-01-02
2069,Dick Clark,1929-11-30,2012-04-18
2070,Dick Powell,1904-11-14,1963-01-02
2071,Dick Richards,1912-08-10,1967-03-17
2072,Dick Van Patten,1928-12-09,2015-06-23
2073,Dickie Jones,1927-02-25,2014-07-07
2074,Diedrich Bader,1966-12-24,NA
2075,Diego Ramos,1972-11-29,NA
2076,Diego Velazquez,NA,NA
2077,Diganth,NA,NA
2078,Dileep Raj,NA,NA
2079,Diljit Dosanjh,NA,NA
2080,Dillon Casey,1983-10-29,NA
2081,Dilshad Vadsaria,1977-09-14,NA
2082,Dimple Kapadia,1957-06-08,NA
2083,Dinah Manoff,1956-01-25,NA
2084,Dinesh D'Souza,1961-04-25,NA
2085,Diora Baird,1983-04-06,NA
2086,Dirk Bogarde,1921-03-28,1999-05-08
2087,Dito Montiel,1965-07-26,NA
2088,Divine,1945-10-19,1988-03-07
2089,DJ Pooh,NA,NA
2090,Djimon Hounsou,1964-04-24,NA
2091,DMX,NA,NA
2092,Dolly Parton,1946-01-19,NA
2093,Dom DeLuise,1933-08-01,2009-05-04
2094,Domenick Lombardozzi,1976-03-25,NA
2095,Dominic Burns,NA,NA
2096,Dominic Colón,NA,NA
2097,Dominic Cooper,1978-06-02,NA
2098,Dominic Flores,NA,NA
2099,Dominic Monaghan,1976-12-08,NA
2100,Dominic Sena,1949-04-26,NA
2101,Dominick Brascia,NA,NA
2102,Dominik Castell,1965-07-20,NA
2103,Dominik García-Lorido,1983-08-16,NA
2104,Dominique McElligott,1986-05-03,NA
2105,Dominique Othenin-Girard,1958-02-13,NA
2106,Dominique Sanda,1948-03-11,NA
2107,Don Ameche,1908-05-31,1993-12-06
2108,Don Bluth,1937-09-13,NA
2109,Don Brooks,NA,2000-10-25
2110,Don Cheadle,1964-11-29,NA
2111,Don Coscarelli,1954-02-17,NA
2112,Don Francks,1932-02-28,2016-04-03
2113,Don Gordon,1938-09-29,2016-02-28
2114,Don Hall,NA,NA
2115,Don Johnson,1949-12-15,NA
2116,Don Kempf,NA,NA
2117,Don Mancini,1963-01-25,NA
2118,Don McKellar,1963-08-17,NA
2119,Don McManus,1959-11-08,NA
2120,Don Michael Paul,1963-04-17,NA
2121,Don Pardo,1959-12-17,NA
2122,Don Rickles,1926-05-08,NA
2123,Don Scardino,1949-02-17,NA
2124,Don Siegel,1912-10-26,1991-04-20
2125,Don Stark,1954-07-05,NA
2126,Don Taylor,1920-12-13,1998-12-29
2127,Don Wallace,NA,NA
2128,Donald Austin,NA,NA
2129,Donald Faison,1974-06-22,NA
2130,Donald Gibb,1954-08-04,NA
2131,Donald Glover,1983-09-25,NA
2132,Donald Petrie,1954-04-02,NA
2133,Donald Pleasence,1919-10-05,1995-02-02
2134,Donald Rumsfeld,1932-07-09,NA
2135,Donald Sumpter,1943-02-13,NA
2136,Donald Trump,1946-06-14,NA
2137,Donald Watkins,NA,NA
2138,Donatas Banionis,1924-04-28,2014-09-04
2139,Dong-gun Jang,1972-03-07,NA
2140,Donna Murphy,1959-03-07,NA
2141,Donna Reed,1921-01-27,1986-01-14
2142,Donna Zovko,NA,NA
2143,Donnie Dunagan,1934-08-16,NA
2144,Donny Alamsyah,1978-12-07,NA
2145,Donny Boaz,NA,NA
2146,Donovan Scott,NA,NA
2147,Doona Bae,1979-10-11,NA
2148,Dorian Missick,1976-01-15,NA
2149,Dororthy Thorton,NA,NA
2150,Dorothy Lamour,1914-12-10,1996-09-22
2151,Dorothy Lyman,1947-04-18,NA
2152,Dottie Alexander,NA,NA
2153,Doug Atchison,NA,NA
2154,Doug Block,NA,NA
2155,Doug Bradley,1954-09-07,NA
2156,Doug Cockle,1970-09-16,NA
2157,Doug E. Doug,1968-04-06,NA
2158,Doug Lefler,NA,NA
2159,Doug Liman,1965-07-24,NA
2160,Douglas Aarniokoski,NA,NA
2161,Douglas Cheek,NA,NA
2162,Douglas Haase,NA,NA
2163,Douglas McGrath,1958-02-02,NA
2164,Douglas Smith,1966-08-04,NA
2165,Douglas Trumbull,1942-04-08,NA
2166,Dougray Scott,1965-11-25,NA
2167,Dov Tiefenbach,1981-12-08,NA
2168,Dove Cameron,1996-01-15,NA
2169,Dr. Dre,1965-02-18,NA
2170,Drake,1986-10-24,NA
2171,Drake Bell,1986-06-27,NA
2172,Drake Doremus,1983-03-29,NA
2173,Drea de Matteo,1972-01-19,NA
2174,Dreama Walker,1986-06-20,NA
2175,Dree Hemingway,1987-12-04,NA
2176,Drew Barrymore,1975-02-22,NA
2177,Drew Carey,1958-05-23,NA
2178,Drew Fuller,1980-05-19,NA
2179,Drew Goddard,1975-02-26,NA
2180,Drew Powell,1976-01-19,NA
2181,Drew Sidora,1985-05-01,NA
2182,Drew Waters,1973-08-20,NA
2183,Dror Moreh,NA,NA
2184,Duane Jones,1937-02-02,1988-07-22
2185,Duane Journey,NA,NA
2186,Duke Johnson,1979-03-20,NA
2187,Dulé Hill,NA,NA
2188,Duncan Jones,1971-05-30,NA
2189,Duncan Tucker,NA,NA
2190,Dustin Diamond,1977-01-07,NA
2191,Dustin Fitzsimons,1986-12-19,NA
2192,Dustin Hoffman,1937-08-08,NA
2193,Dustin Ingram,1990-01-25,NA
2194,Dustin Lance Black,1974-06-10,NA
2195,Dustin Milligan,1985-07-28,NA
2196,Dustin Nguyen,1962-09-17,NA
2197,Dwayne Johnson,1972-05-02,NA
2198,Dwight H. Little,1956-01-13,NA
2199,Dwight Henry,NA,NA
2200,Dwight Yoakam,1956-10-23,NA
2201,Dyan Cannon,1937-01-04,NA
2202,Dylan Authors,NA,NA
2203,Dylan Baker,1959-10-07,NA
2204,Dylan Bank,NA,NA
2205,Dylan Kussman,NA,NA
2206,Dylan Minnette,1996-12-29,NA
2207,Dylan Moran,1971-11-03,NA
2208,Dylan Schombing,NA,NA
2209,Dylan Walsh,1963-11-17,NA
2210,E. Elias Merhige,NA,NA
2211,E.L. Katz,1981-01-07,NA
2212,Eamonn Walker,1962-06-12,NA
2213,Earl Cameron,1917-08-08,NA
2214,Eartha Kitt,1927-01-17,2008-12-25
2215,Ebon Moss-Bachrach,1978-08-17,NA
2216,Ed Begley Jr.,1949-09-16,NA
2217,Ed Decter,NA,NA
2218,Ed Gass-Donnelly,1977-08-17,NA
2219,Ed Harris,1950-11-28,NA
2220,Ed Lauter,1938-10-30,2013-10-16
2221,Ed Quinn,1968-02-26,NA
2222,Ed Skrein,1983-03-29,NA
2223,Ed Speleers,1988-04-07,NA
2224,Ed Stoppard,1974-09-16,NA
2225,Ed Wynn,1886-11-09,1966-06-19
2226,Eddie 'Piolin' Sotelo,NA,NA
2227,Eddie Albert,1906-04-22,2005-05-26
2228,Eddie Baroo,1968-09-25,NA
2229,Eddie Cahill,1978-01-15,NA
2230,Eddie Cibrian,1973-06-16,NA
2231,Eddie Deezen,1957-03-06,NA
2232,Eddie Griffin,1968-07-15,NA
2233,Eddie Izzard,1962-02-07,NA
2234,Eddie Jemison,NA,NA
2235,Eddie Jones,NA,NA
2236,Eddie Kaye Thomas,1980-10-31,NA
2237,Eddie Marsan,1968-06-09,NA
2238,Eddie O'Flaherty,1968-03-15,NA
2239,Eddie Peng,1982-03-24,NA
2240,Eddie Redmayne,1982-01-06,NA
2241,Eddie Rouse,1954-07-02,2014-12-07
2242,Eddie Spears,1982-11-29,NA
2243,Eddie Vedder,1964-12-23,NA
2244,Eden Riegel,1981-01-01,NA
2245,Edgar Arreola,NA,NA
2246,Edgar Buchanan,1903-03-20,1979-04-04
2247,Edgar Ramírez,1977-03-25,NA
2248,Edgar Tancangco,NA,NA
2249,Edgar Wright,1974-04-18,NA
2250,Edi Gathegi,1979-03-10,NA
2251,Edie Falco,1963-07-05,NA
2252,Edith Massey,1918-05-28,1984-10-24
2253,Edmund McMillen,NA,NA
2254,Edouard Baer,1966-12-01,NA
2255,Eduard Fernández,1964-08-25,NA
2256,Eduardo Noriega,1973-08-01,NA
2257,Eduardo Verástegui,1974-05-21,NA
2258,Edward Andrews,NA,NA
2259,Edward Burns,NA,NA
2260,Edward Conna,1968-06-19,NA
2261,Edward Dmytryk,1908-09-04,1999-07-01
2262,Edward Everett Horton,1886-03-18,1970-09-29
2263,Edward Fox,1937-04-13,NA
2264,Edward Hall,NA,NA
2265,Edward Norton,1969-08-18,NA
2266,Edward Zwick,1952-10-08,NA
2267,Edwin Hodge,1985-01-26,NA
2268,Edwin Neal,1945-07-12,NA
2269,Efram Potelle,NA,NA
2270,Eileen Brennan,1932-09-03,2013-07-28
2271,Eion Bailey,1976-06-08,NA
2272,Ejner Federspiel,1896-08-12,1981-11-24
2273,Ekachai Uekrongtham,NA,NA
2274,Elaine Bromka,1950-01-06,NA
2275,Elaine Cassidy,1979-12-31,NA
2276,Elaine Hendrix,1970-12-28,NA
2277,Elaine May,1932-04-21,NA
2278,Elaine Stritch,1925-02-02,2014-07-17
2279,Eldar Rapaport,NA,NA
2280,Elden Henson,1977-08-30,NA
2281,Elea Oberon,NA,NA
2282,Eleanor Bron,1938-03-14,NA
2283,Eleanor Parker,1922-06-26,2013-12-09
2284,Elena Anaya,1975-07-17,NA
